,0,1,2,3,4,5
239,Luke Buckmaster,The Guardian/BBC Culture,Australia,Boyhood,Richard Linklater,2014
240,Luciano Castillo,Cinemateca de Cuba,Cuba,The White Ribbon,Michael Haneke,2009
241,Luciano Castillo,Cinemateca de Cuba,Cuba,In the Mood for Love,Wong Kar-wai,2000
242,Luciano Castillo,Cinemateca de Cuba,Cuba,"Spring, Summer, Fall, Winter…and Spring",Kim Ki-duk,2003
243,Luciano Castillo,Cinemateca de Cuba,Cuba,Melancholia,Lars von Trier,2011
244,Luciano Castillo,Cinemateca de Cuba,Cuba,Elephant,Gus Van Sant,2003
245,Luciano Castillo,Cinemateca de Cuba,Cuba,Russian Ark,Aleksandr Sokurov,2002
246,Luciano Castillo,Cinemateca de Cuba,Cuba,City of God,Fernando Meirelles and Kátia Lund,2002
247,Luciano Castillo,Cinemateca de Cuba,Cuba,A Prophet,Jacques Audiard,2009
248,Luciano Castillo,Cinemateca de Cuba,Cuba,"4 Months, 3 Weeks &amp; 2 Days",Cristian Mungiu,2007
249,Luciano Castillo,Cinemateca de Cuba,Cuba,Inside Out,Pete Docter,2015
250,Monica Castillo,New York Times Watching,US,Inside Llewyn Davis,Joel and Ethan Coen,2013
251,Monica Castillo,New York Times Watching,US,Persepolis,Vincent Paronnaud and Marjane Satrapi,2007
252,Monica Castillo,New York Times Watching,US,Fish Tank,Andrea Arnold,2009
253,Monica Castillo,New York Times Watching,US,Pan's Labyrinth,Guillermo Del Toro,2006
254,Monica Castillo,New York Times Watching,US,In the Mood for Love,Wong Kar-wai,2000
255,Monica Castillo,New York Times Watching,US,Spirited Away,Hayao Miyazaki,2001
256,Monica Castillo,New York Times Watching,US,Mad Max: Fury Road,George Miller,2015
257,Monica Castillo,New York Times Watching,US,Attack the Block,Joe Cornish,2011
258,Monica Castillo,New York Times Watching,US,Eternal Sunshine of the Spotless Mind,Michel Gondry,2004
259,Monica Castillo,New York Times Watching,US,The Royal Tenenbaums,Wes Anderson,2001
260,Samuel Castro,El Colombiano,Colombia,The Secret in Their Eyes,Juan José Campanella,2009
261,Samuel Castro,El Colombiano,Colombia,Before Sunset,Richard Linklater,2004
262,Samuel Castro,El Colombiano,Colombia,Eternal Sunshine of the Spotless Mind,Michel Gondry,2004
263,Samuel Castro,El Colombiano,Colombia,Ratatouille,Brad Bird and Jan Pinkava,2007
264,Samuel Castro,El Colombiano,Colombia,Stories We Tell,Sarah Polley,2012
265,Samuel Castro,El Colombiano,Colombia,Pan's Labyrinth,Guillermo Del Toro,2006
266,Samuel Castro,El Colombiano,Colombia,Amores Perros,Alejandro González Iñárritu,2000
267,Samuel Castro,El Colombiano,Colombia,A Separation,Asghar Farhadi,2011
268,Samuel Castro,El Colombiano,Colombia,Minority Report,Steven Spielberg,2002
269,Samuel Castro,El Colombiano,Colombia,Moulin Rouge!,Baz Luhrmann,2001
270,Justin Chang,Los Angeles Times,US,Mulholland Drive,David Lynch,2001
271,Justin Chang,Los Angeles Times,US,The Tree of Life,Terrence Malick,2011
272,Justin Chang,Los Angeles Times,US,In the Mood for Love,Wong Kar-wai,2000
273,Justin Chang,Los Angeles Times,US,Boyhood,Richard Linklater,2014
274,Justin Chang,Los Angeles Times,US,Secret Sunshine,Lee Chang-dong,2007
275,Justin Chang,Los Angeles Times,US,Zodiac,David Fincher,2007
276,Justin Chang,Los Angeles Times,US,The Dark Knight,Christopher Nolan,2008
277,Justin Chang,Los Angeles Times,US,The Son,Jean-Pierre and Luc Dardenne,2002
278,Justin Chang,Los Angeles Times,US,Brokeback Mountain,Ang Lee,2005
279,Justin Chang,Los Angeles Times,US,35 Shots of Rum,Claire Denis,2008
280,Enrico Chiesa,AfricaFilms.TV,Senegal,The Three Burials of Melquiades Estrada,Tommy Lee Jones,2005
281,Enrico Chiesa,AfricaFilms.TV,Senegal,There Will Be Blood,Paul Thomas Anderson,2007
282,Enrico Chiesa,AfricaFilms.TV,Senegal,A Separation,Asghar Farhadi,2011
283,Enrico Chiesa,AfricaFilms.TV,Senegal,Birdman,Alejandro González Iñárritu,2014
284,Enrico Chiesa,AfricaFilms.TV,Senegal,The Blind Swordsman: Zatoichi,Takeshi Kitano,2003
285,Enrico Chiesa,AfricaFilms.TV,Senegal,Mommy,Xavier Dolan,2014
286,Enrico Chiesa,AfricaFilms.TV,Senegal,Dancer in the Dark,Lars von Trier,2000
287,Enrico Chiesa,AfricaFilms.TV,Senegal,Tey,Alain Gomis,2012
288,Enrico Chiesa,AfricaFilms.TV,Senegal,Sweet Sixteen,Ken Loach,2002
